ar,country_ar,en,country_en
 ليفركوزن, ألمانيا, Leverkusen,Germany
 ليفنو, البوسنة والهرسك,Livno,Bosnia and Herzegovina
 ليكشور, كندا,Lakeshore,Canada
 ليكويسا, تيمور الشرقية, Liquiçá,Timor-Leste
 ليكينو-دوليوفو, روسيا, Likino-Dulyovo,Russian Federation
 ليل, فرنسا,Lille,France
 ليلان, العراق, laylan,Iraq
 ليلونغوي, ملاوي, Lilongwe,Malawi
 ليلى, السعودية, Layla,Saudi Arabia
 ليليستاد, هولندا, Lelystad,Netherlands
 ليما, بيرو, Lima,Peru
 ليماسول, قبرص, Limassol,Cyprus
 ليمبورخ, هولندا, Limburg,Netherlands
 ليموج, فرنسا,Limoges,France
 لينب, ألمانيا,Lennep,Germany
 لينة, السعودية, Linah,Saudi Arabia
 لينجشويجيانغ, الصين, Lengshuijiang,China
 لينزن, ألمانيا,Lenzen (Elbe),Germany
 لينشوبينغ, السويد,Linköping,Sweden
 لينهاي, الصين, Linhai,China
 لينوود, الولايات المتحدة,Lynnwood,United States of America
 لينيا, تشاد, Linia,Chad
 ليه, باكستان, Layyah,Pakistan
 ليوا, الامارات العربية المتحدة, Liwa,United Arab Emirates
 ليوبارتسي, روسيا, Lyubertsy,Russian Federation
 ليوبليانا, سلوفينيا, Ljubljana,Slovenia
 ليوشو, الصين, Liuzhou,China
 ليون, المكسيك, León,Mexico
 ليون, فرنسا, Lyon,France
 ليون, أسبانيا,León,Spain
 ليون, أسبانيا,León,Spain
 ليوواردن, هولندا, Leeuwarden,Netherlands
 لييج, بلجيكا,Liège,Belgium
 ليير, جنوب السودان, Leer,South Sudan
 مأرب, اليمن, Marib,Yemen
 ماء ديما, اريتريا, Maydima,Eritrea
 ماء قادر, اثيوبيا, Mai Kadra,Ethiopia
 ماء منه, اريتريا, Mai Mine,Eritrea
 مائقانا, تشاد,Maïgana مائقانا,Chad
 مائني سورو, النيجر,Maïné-Soroa,Niger
 ماباروما, غيانا, Mabaruma,Guyana
 مابوتو, موزمبيق, Maputo,Mozambique
 مابوزا, الهند,Mapusa,India
 ماتا-أوتو, فرنسا, Mata Utu,France
 ماتاجانا, تشاد, Matadjana,Chad
 ماتارا, سريلانكا, Matara,Sri Lanka
 ماتارو, أسبانيا,Mataró,Spain
 ماتسوا، شيمانه, اليابان, Matsue,Japan
 ماتسوبارا، أوساكا, اليابان, Matsubara,Japan
 ماتسورا، ناغاساكي, اليابان, Matsuura,Japan
 ماتسوزاكي, اليابان, Matsuzaki,Japan
 ماتسوساكا، ميه, اليابان, Matsusaka,Japan
 ماتسوياما، إهيمه, اليابان, Matsuyama,Japan
 ماتشيدا، طوكيو, اليابان, Machida,Japan
 ماتشيليباتنام, الهند, Machilipatnam,India
 ماتم, السنغال, Matam,Senegal
 ماتو غروسو دو سول, البرازيل, Mato Grosso do Sul,Brazil
 ماتيرا, ايطاليا,Matera,Italy
 ماجل بلعباس, تونس, Magel Bel Abbes,Tunisia
 ماجورو, جزر مارشال, Majuro,Marshall Islands
 ماجيكافو كربا, فرنسا,Majicavo-Koropa,France
 ماداما, النيجر, Madama,Niger
 مادبا, الأردن, Madaba,Jordan
 مادهوبور, باكستان, Madhupur,Pakistan
 ماديكيري, الهند,Madikeri,India
 مار ديل بلاتا, الأرجنتين, Mar del Plata,Argentina
 مار رامون من وهران الجديدة, الأرجنتين,San Ramón de la Nueva Orán,Argentina
 ماربورغ, ألمانيا,Marburg,Germany
 مارتلة, البرتغال,Mértola,Portugal
 مارتينيك, فرنسا, Martinique,France
 مارث, تونس, Mareth,Tunisia
 مارجاو, الهند, Margao,India
 ماردة, المكسيك, Mérida,Mexico
 ماردة, أسبانيا,Mérida,Spain
 ماردين, تركيا,Mardin,Turkey
 مارع, سوريا, Mari`,Syrian Arab Republic
 ماركت أوبردورف, ألمانيا,Marktoberdorf,Germany
 مارنولي, جورجيا, Marneuli,Georgia
 مارو, تشاد, Maro,Chad
 مارونديرا, زيمبابوي,Marondera,Zimbabwe
 ماريجوت, فرنسا, Marigot,France
 ماريدي, جنوب السودان, Maridi,South Sudan
 ماريسفيلي، يوبا، كاليفورنيا, الولايات المتحدة,Marysville,United States of America
 ماريوبول, أوكرانيا, Mariupol,Ukraine
 مازر, ايطاليا,Mazara del Vallo,Italy
 مازونة, الجزائر, Mazouna,Algeria
 ماساكوري, تشاد, Massakory,Chad
 ماسايو, البرازيل, Maceió,Brazil
 ماسة, المغرب, Massa,Morocco
 ماستريخت, هولندا, Maastricht,Netherlands
 ماسرى, الجزائر, Mesra,Algeria
 ماسفينغو, زيمبابوي,Masvingo,Zimbabwe
 ماسنتا, غينيا,Macenta,Guinea
 ماسودا، شيمانه, اليابان, Masuda,Japan
 ماسيرو, ليسوتو, Maseru,Lesotho
 ماسيس, أرمينيا, Masis,Armenia
 ماسيغوي, مالي,Massigui,Mali
 ماسينيا, تشاد,Massenya ماسينيا,Chad
 ماطر, تونس, Matir,Tunisia
 ماغادان, روسيا, Magadan,Russian Federation
 ماغام, الهند,Magam,India
 مافود, اليمن, Mafud,Yemen
 ماقا, الكاميرون,Maga,Cameroon
 ماكابا, البرازيل, Macapá,Brazil
 ماكاتي, الفيلبين, Makati,Philippines
 ماكاري, الكاميرون, Makary,Cameroon
 ماكاو, الصين, Macau,China
 ماكورازاكي، كاغوشيما, اليابان, Makurazaki,Japan
 ماكوردي, نيجيريا,Makurdi,Nigeria
 ماكينوهارا، شيزوكا, اليابان, Makinohara,Japan
 مال, موريتانيا, Sori Malé,Mauritania
 مالابو, غينيا الاستوائية, Malabo,Equatorial Guinea
 مالابورام, الهند, Malappuram,India
 مالانفيل, بنين,Malanville,Benin
 مالتيبي, تركيا,Maltepe,Turkey
 مالدا, الهند, Malda,India
 مالطا, مالطا, Malta,Malta
 مالغوبك, روسيا, Malgobek,Russian Federation
 مالقة, أسبانيا,Málaga,Spain
 مالي, مالي, Mali,Mali
 ماليزيا, ماليزيا, Malaysia,Malaysia
 مامودزو, فرنسا,Mamoudzou,France
 مان, ساحل العاج,Man,Cote d’Ivoire
 ماناتوتو, تيمور الشرقية, Manatuto,Timor-Leste
 ماناغوا, نيكاراجوا, Managua,Nicaragua
 ماناوس, البرازيل, Manaus,Brazil
 مانبور, الهند,Manpur,India
 مانتوفا, ايطاليا, Mantua,Italy
 ماندالغوفي, منغوليا, Mandalgobi,Mongolia
 ماندالغوفي, منغوليا, Mandalgovi,Mongolia
 ماندفي, الهند, Mandvi (M),India
 مانديا, الهند,Mandya,India
 مانديليا, تشاد, Mandelia,Chad
 مانسهره, باكستان, Mansehra,Pakistan
 مانشان, الصين, Ma'anshan,China
 مانشستر, المملكة المتحدة, Manchester,UK
 مانقلور, الهند,Manglaur,India
 مانكالمي, تشاد, Mangalmé,Chad
 مانكيش, العراق, Mangesh,Iraq
 مانهايم, ألمانيا, Mannheim,Germany
 ماني, تشاد,ماني Mani,Chad
 مانيبور, الهند, Manipur,India
 مانيتوبا, كندا, Manitoba,Canada
 مانيسا, تركيا, Manisa,Turkey
 مانيلا, الفيلبين, Manila,Philippines
 ماهاراشترا, الهند, Maharashtra,India
 ماو, تشاد, Mao,Chad
 ماوزو, الصين, Meizhou,China
 ماوسة, الجزائر, Maoussa,Algeria
 ماولاميين, ميانمار, Mawlamyine,Myanmar
 ماومينغ, الصين, Maoming,China
 ماوية, اليمن, Mawiyah,Yemen
 ماويليكرا, الهند,Mavelikkara,India
 مايا, تشاد,Maya مايا,Chad
 ماياهي, النيجر,Mayahi,Niger
 مايتشي, روسيا, Mytishchi,Russian Federation
 مايدوغوري, نيجيريا,Maiduguri,Nigeria
 مايزورو، كيوتو, اليابان, Maizuru,Japan
 مايسن, ألمانيا, Meissen,Germany
 مايكو، إيواته, اليابان, Miyako,Japan
 مايكوب, روسيا, Maykop,Russian Federation
 ماينا، ياماغوتشي, اليابان, Mine,Japan
 ماينتس, ألمانيا, Mainz,Germany
 مايه-باشي, اليابان, Maebashi,Japan
 مايو كيبي الشرقي, تشاد, Mayo-Kebbi Est,Chad
 مايو كيبي الغربي, تشاد, Mayo-Kebbi Ouest Region,Chad
 مايوت, فرنسا, Mayotte,France
 مبابان, سوازيلاند, Mbabane,Eswatini
 مبارك, الصومال, Mubaarak,Somalia
 مبوجي-مايي, جمهورية الكونغو الديمقراطية, Kasaï-Oriental,Congo (Democratic Republic of the)
 مبين, اليمن, Mabyan,Yemen
 متبان, الصومال, Matabaan,Somalia
 متز, فرنسا,Metz,France
 متسنغموجي, فرنسا,M'Tsangamouji,France
 متليلي الشعانبة, الجزائر, Metlili Chaamba,Algeria
 متمان, ألمانيا,Mettmann,Germany
 متنة, اليمن, Matnah,Yemen
 مجاز الباب, تونس, Medjez El-Bab,Tunisia
 مجانة, الجزائر, Medjana,Algeria
 مجدل, الجزائر, Medjedel,Algeria
 مجز, اليمن, Majz,Yemen
 مجزر, اليمن, Majzar,Yemen
 مجمع الظهران السكني, السعودية, Dhahran Compound,Saudi Arabia
 مجيس, عمان, Majis,Oman
 محافظة آق حصار, تركيا, Akhisar,Turkey
 محافظة أبين, اليمن, Abyan Governorate,Yemen
 محافظة أرخانغاي, منغوليا, Arkhangai,Mongolia
 محافظة أرخبيل سقطرى, اليمن, Socotra Archipelago,Yemen
 محافظة أسوان, مصر, Aswan Governorate,Egypt
 محافظة أورخون, منغوليا, Orkhon,Mongolia
 محافظة أوفس, منغوليا, Uvs,Mongolia
 محافظة أوفوخاناجي, منغوليا, Uvurkhangai,Mongolia
 محافظة أومنوغوفي, منغوليا, Ömnögovi,Mongolia
 محافظة إب, اليمن, Ibb Governorate,Yemen
 محافظة البيضاء, اليمن, Al Bayda' Governorate,Yemen
 محافظة الجوف, اليمن, Al Jawf Governorate,Yemen
 محافظة الحديدة, اليمن, Al Hudaydah Governorate,Yemen
 محافظة الضالع, اليمن, Ad Dali' Governorate,Yemen
 محافظة المحويت, اليمن, Al Mahwit Governorate,Yemen
 محافظة المهرة, اليمن, Al Mahrah Governorate,Yemen
 محافظة بايان-أولجي, منغوليا, Bayan-Ulgii,Mongolia
 محافظة بايانخونغور, منغوليا, Bayankhongor,Mongolia
 محافظة بودلسكي, بولندا, Podlachia,Poland
 محافظة بولغان, منغوليا, Bulgan,Mongolia
 محافظة بولندا الصغرى, بولندا, Lesser Poland,Poland
 محافظة بومرسكي, بولندا, Pomerania,Poland
 محافظة تارلاك, الفيلبين, Tarlac,Philippines
 محافظة تشومفون, تايلند, Chumphon Province,Thailand
 محافظة تعز, اليمن, Ta'izz Governorate,Yemen
 محافظة توف, منغوليا, Central,Mongolia
 محافظة جوفيسومبر, منغوليا, Govisümber,Mongolia
 محافظة حجة, اليمن, Hajjah Governorate,Yemen
 محافظة حضرموت, اليمن, Hadramaut Governorate,Yemen
 محافظة خنتي, منغوليا, Khentii,Mongolia
 محافظة خوزستان, ايران, Khuzestan,Iran 
 محافظة خوفسغول, منغوليا, Khövsgöl,Mongolia
 محافظة درخان-وول, منغوليا, Darkhan-Uul,Mongolia
 محافظة دورنوغوفي, منغوليا, East Gobi,Mongolia
 محافظة دوندغوفي, منغوليا, Middle Gobi,Mongolia
 محافظة ذمار, اليمن, Dhamar Governorate,Yemen
 محافظة ريمة, اليمن, Raymah Governorate,Yemen
 محافظة زافخان, منغوليا, Zavkhan,Mongolia
 محافظة سوبكارباتيا, بولندا, Subcarpathia,Poland
 محافظة سوخباتار, منغوليا, Sükhbaatar,Mongolia
 محافظة سيلنج, منغوليا, Selenge,Mongolia
 محافظة شبوة, اليمن, Shabwah Governorate,Yemen
 محافظة صعدة, اليمن, Sa'dah Governorate,Yemen
 محافظة صنعاء, اليمن, Sana'a Governorate,Yemen
 محافظة عدن, اليمن, Aden Governorate,Yemen
 محافظة عمران, اليمن, Amran Governorate,Yemen
 محافظة غوفي-ألتاي, منغوليا, Govi-Altai,Mongolia
 محافظة غیلان, ايران, Gilan Province,Iran 
 محافظة فارمينسكو-مازورسكي, بولندا, Warmian-Masurian Voivodeship,Poland
 محافظة لحج, اليمن, Lahij Governorate,Yemen
 محافظة لوبيلسكي, بولندا, województwo lubelskie,Poland
 محافظة مأرب, اليمن, Ma'rib Governorate,Yemen
 محافظة مازوفيا, بولندا, Masovia,Poland
 محافظة موسكو, روسيا, Moscow Oblast,Russian Federation
 محايل عسير, السعودية, Muhayil,Saudi Arabia
 محج قلعة, روسيا, Makhachkala,Russian Federation
 محردة, سوريا, Muhradah,Syrian Arab Republic
 محضة, عمان, Mahda,Oman
 محلة الكبرى, مصر, El Mahalla El Kubra,Egypt
 محمود آباد, الهند,Mahmudabad,India
 محمود آباد, ايران,محمودآباد,Iran 
 محنبل, سوريا, Muhanbal,Syrian Arab Republic
 مخمور, العراق,مخمور,Iraq
 مخيم أم نباك, تشاد, Am Nabak Refugee Camp,Chad
 مخيم أوري كاسوني, تشاد, Oure Cassoni Refugee Camp,Chad
 مخيم إريديمي, تشاد, Iridimi Refugee Camp,Chad
 مخيم اليرموك, سوريا, Mukhayyam al Yarmuk,Syrian Arab Republic
 مخيم بريجين, تشاد, Bredjing Refugee camp,Chad
 مخيم تولوم, تشاد,Camp de Réfugiés de Touloum مخيم تولوم,Chad
 مخيم جنين, فلسطين, Jenin Refugee Camp, Palestinian
 مخيم فرشانة, تشاد, Bredjing Refugee camp,Chad
 مخيم قلنديا, فلسطين, Qalandiya Refugee Camp, Palestinian
 مخيم قوز عامر, تشاد, Goz Amer,Chad
 مدائن, العراق, Al Madain,Iraq
 مداوروش, الجزائر, M'Daourouch,Algeria
 مدج, الصومال, Mudug,Somalia
 مدحاء, عمان, Madha,Oman
 مدريد, أسبانيا, Madrid,Spain
 مدريسة, الجزائر, Medrissa,Algeria
 مدغشقر, مدغشقر, Madagascar,Madagascar
 مدغل, اليمن, Madghil,Yemen
 مدفيجيغورسك, روسيا, Medvezhyegorsk,Russian Federation
 مدنين, تونس, Medenine,Tunisia
 مدهيا برديش, الهند, Madhya Pradesh,India
 مدو, النيجر,Madaoua,Niger
 مدورئي, الهند, Madurai,India
 مدورة, الأردن, Mudawwara,Jordan
 مديات, تركيا,Midyat,Turkey
 مدين, باكستان, Madyan,Pakistan
 مدينة أبو كبير, مصر, Abou Kebir City,Egypt
 مدينة أوكيناوا, اليابان, Okinawa,Japan
 مدينة اتفاق, أفغانستان, Ettefaq,Afghanistan
 مدينة البريقة, ليبيا, New Brega,Libya
 مدينة السادات, مصر, Sadat City,Egypt
 مدينة السادس من أكتوبر, مصر, Sixth of October City,Egypt
 مدينة السلام الغربية, مصر, Al Salam First,Egypt
 مدينة الشرق, الأردن, Orient City,Jordan
 مدينة الشروق, مصر, Sherook City,Egypt
 مدينة الشيخ زايد, مصر, Sheikh Zayed City,Egypt
 مدينة الفجيرة, الامارات العربية المتحدة, Fujairah,United Arab Emirates
 مدينة القاهرة الجديدة, مصر, New Cairo City,Egypt
 مدينة الكويت, الكويت, Kuwait City,Kuwait
 مدينة الكويرة المهجورة, الصحراء الغربية, La Güera Ghost Town,Western Sahara
 مدينة المسنأ, السودان, Madinat al Masna'a,Sudan
 مدينة الملك خالد العسكرية, السعودية, Madinat al Malik Khalid al `Askariyah,Saudi Arabia
 مدينة الملك عبد الله الاقتصادية, السعودية, King Abdullah Economic City,Saudi Arabia
 مدينة الهليون, الرأس الأخضر,Espargos,Cabo Verde
 مدينة بازل, سويسرا, Basel-City,Switzerland
 مدينة بدر, مصر, Badr City,Egypt
 مدينة ﺑﺮﺍﻭة, الصومال, Barawa,Somalia
 مدينة بنما, بنما, Panama,Panama
 مدينة بنين, نيجيريا, Benin City,Nigeria
 مدينة جرمة, ليبيا, Germa,Libya
 مدينة جياد الصناعية, السودان, Giad Industrial Complex,Sudan
 مدينة حمد, البحرين, Hamad Town,Bahrain
 مدينة دافاو, الفيلبين, Davao City,Philippines
 مدينة زايد, الامارات العربية المتحدة, Madinat Zayed,United Arab Emirates
 مدينة زايد, الامارات العربية المتحدة, Zayed City,United Arab Emirates
 مدينة زنجبار, تانزانيا, Zanzibar City,United Republic of Tanzania
 مدينة سان مارينو, سان مارينو, City of San Marino,San Marino
 مدينة سبو, الفيلبين, Cebu City,Philippines
 مدينة صنعاء, اليمن, Sana'a City,Yemen
 مدينة طبرق, ليبيا, tobruk city,Libya
 مدينة طرابلس القديمة, ليبيا, Old city of Tripoli,Libya
 مدينة عيسى, البحرين, Isa Town,Bahrain
 مدينة غواتيمالا, جواتيمالا, Guatemala City,Guatemala
 مدينة قلي, السودان, Guli Town,Sudan
 مدينة كيريتارو;سانتياغو دي كويريتارو, المكسيك,Querétaro,Mexico
 مدينة كيزون, الفيلبين, Quezon City,Philippines
 مدينة لبعوس, اليمن, Madinat Lab`us,Yemen
 مدينة مايو, الرأس الأخضر,Cidade do Maio,Cabo Verde
 مدينة مرسى علم, مصر, Marsa Alam City,Egypt
 مدينة مكسيكو, المكسيك, Mexico City,Mexico
 مدينة هو تشي منه, فيتنام, Ho Chi Minh City,Viet Nam
 مدينة وادي النطرون, مصر, Wadi El Natrun,Egypt
 مدينة ولز, المملكة المتحدة, Wells,UK
 مدينة يوشو، تشينغهاي, الصين, Yushu,China
 مدينتي, مصر, Madinaty,Egypt
 مدينه ابنوب, مصر, Abnoub City,Egypt
 مدينه ابو سمبل, مصر, Abu Simbel City,Egypt
 مدينه اجا, مصر, Aga City,Egypt
 مدينه اخميم, مصر, Akhmim City,Egypt
 مدينه ادفو, مصر, Idfu City,Egypt
 مدينه الابراهيميه, مصر, Al Ibrahimeya City,Egypt
 مدينه الاقصر, مصر, Luxor City,Egypt
 مدينه البلينا, مصر, Al Blina City,Egypt
 مدينه الخارجه, مصر, Al Khargah City,Egypt
 مدينه الغنايم, مصر, Al Ghanaym City,Egypt
 مدينه الفكريه, مصر, Al Fekreya City,Egypt
 مدينه الفيوم الجديدة, مصر, New Al Fayoum City,Egypt
 مدينه القصير, مصر, Al Qusair City,Egypt
 مدينه المرج القديمة, ليبيا, Old City Al Marj,Libya
 مدينه النوباريه الجديدة, مصر, New Al Nobaria City,Egypt
 مدينه بلقاس, مصر, Belqas City,Egypt
 مدينه بنى مزار, مصر, Bani Mazar City,Egypt
 مدينه جرجا, مصر, Gerga City,Egypt
 مدينه جهينه, مصر, Jouhayna City,Egypt
 مدينه دراو, مصر, Daraw City,Egypt
 مدينه ديرب نجم, مصر, Derb Negm City,Egypt
 مدينه ديرمواس, مصر, Dir Mawas City,Egypt
 مدينه ديروط, مصر, Dirot City,Egypt
 مدينه سمالوط, مصر, Smalout City,Egypt
 مدينه صدفا, مصر, Sadfa City,Egypt
 مدينه طما, مصر, Tama City,Egypt
 مدينه طهطا, مصر, Tahta City,Egypt
 مدينه فاقوس, مصر, Fakous City,Egypt
 مدينه قوص, مصر, Qus city,Egypt
 مدينه كفر الزيات, مصر, Kafr Al Zayat City,Egypt
 مدينه كفر صقر, مصر, Kafr Sakr City,Egypt
 مدينه كلابشة, مصر, Kalabsha City,Egypt
 مدينه كوم امبو, مصر, Koum Ombo City,Egypt
 مدينه كوم حماده, مصر, Koum Hamada City,Egypt
 مدينه مطاى, مصر, Matay City,Egypt
 مدينه مغاغه, مصر, Maghagha City,Egypt
 مدينه منفلوط, مصر, Manfalot City,Egypt
 مدينه منيا القمح, مصر, Minya Al Qamh City,Egypt
 مدينه ميت غمر, مصر, Mit Ghamr City,Egypt
 مدينه نبروه, مصر, Nabaroh City,Egypt
 مدينه ههيا, مصر, Hihya City,Egypt
 مديونة, الجزائر, Mediouna,Algeria
 مديونة, المغرب, Médiouna,Morocco
 مرات, السعودية, Marat,Saudi Arabia
 مراد, الجزائر, Merad,Algeria
 مراد باشا, تركيا,Muratpaşa,Turkey
 مرادة, ليبيا, Maradah,Libya
 مرادي, النيجر,Maradi,Niger
 مرادية, تركيا,Muradiye,Turkey
 مراسي,مصر,Marassi,Egypt
 مراكش, المغرب, Marrakesh,Morocco
 مراوة, ليبيا, Marawah,Libya
 مرباط, عمان, Mirbat,Oman
 مربح, الامارات العربية المتحدة, Mirbah,United Arab Emirates
 مربلة, أسبانيا,Marbella,Spain
 مرتفعات قرة باغ, أذربيجان, Nagorno-Karabakh,Azerbaijan
 مرتوبة, ليبيا, Martubah,Libya
 مرتيل, المغرب, Martil,Morocco
 مرجعيون, لبنان, Marjayoun,Lebanon
 مردان, باكستان, Mardan,Pakistan
 مرزق, ليبيا, Murzuq,Libya
 مرزوكة, المغرب, Merzouga,Morocco
 مرس الخير, المغرب, Mers El Kheir,Morocco
 مرسط, الجزائر, Morsott,Algeria
 مرسى البريقة, ليبيا, Brega,Libya
 مرسى الحجاج, الجزائر, Mers El Hadjadj,Algeria
 مرسى بن مهيدي, الجزائر, Marsa Ben M'Hidi,Algeria
 مرسى علم, مصر, Marsa Alam,Egypt
 مرسى علي, ايطاليا,Marsala,Italy
 مرسى مطروح, مصر, Marsa Matruh,Egypt
 مرسية, أسبانيا,Murcia,Spain
 مرسيليا, فرنسا, Marseille,France
 مرسين, تركيا, Mersin,Turkey
 مرعش, تركيا, Marash,Turkey
 مركا, الصومال, Merca,Somalia
 مركز دير مواس, مصر, Markaz Deir Mawas,Egypt
 مركز مذيخرة, اليمن, Markaz Mudhaykirah,Yemen
 مرماريس, تركيا,Marmaris,Turkey
 مرمرا إريغليسي, تركيا,Marmaraereğlisi,Turkey
 مرناق, تونس, Mornag,Tunisia
 مرو, كينيا, Meru,Kenya
 مروانة, الجزائر, Merouana,Algeria
 مروة, الكاميرون, Maroua,Cameroon
 مرودشت, ايران, Marvdasht,Iran 
 مروي, السودان, Merowe,Sudan
 مري, باكستان, Murree,Pakistan
 مرياه, النيجر,Mirriah,Niger
 مريد والا, باكستان, Mureed Wala,Pakistan
 مريرت, المغرب, M'Rirt,Morocco
 مزار شريف, أفغانستان, Mazar i sharif,Afghanistan
 مزاورو, الجزائر, Mezaourou,Algeria
 مزدة, ليبيا, Mizda,Libya
 مزغران, الجزائر, Mazagran,Algeria
 مسافي, الامارات العربية المتحدة, Masafi,United Arab Emirates
 مساقط, تشاد, Massaguet,Chad
 مساكن, تونس, M'Saken,Tunisia
 مسة, ليبيا, Massa,Libya
 مستغانم, الجزائر, Mostaganem,Algeria
 مستوج, باكستان, Mastuj,Pakistan
 مستورة, السعودية, Masturah,Saudi Arabia
 مستونغ, باكستان, Mastung,Pakistan
 مسجد سليمان, ايران, Masjed Soleyman,Iran 
 مسجد عيسى, تونس, Mesjed-Aïssa,Tunisia
 مسعد, الجزائر, Messaad,Algeria
 مسقط, عمان, Muscat,Oman
 مسكنة, سوريا, Maskanah,Syrian Arab Republic
 مسكي, المغرب, Meski,Morocco
 مسكيانة, الجزائر, Meskiana,Algeria
 مسلاتة المركز, ليبيا, Central Msallata,Libya
 مسلية, السعودية, Misliyah,Saudi Arabia
 مسوس, ليبيا, Zawiyat Masus,Libya
 مسيسنة, الجزائر,Imessisen M'cisna,Algeria
 مسيعيد, قطر, Mesaieed,Qatar
 مسينة, ايطاليا, Messina,Italy
 مشاط, اليمن, Mashat,Yemen
 مشتشونوف, بولندا,Mszczonów,Poland
 مشتول السوق, مصر, Mashtul Al-Suq,Egypt
 مشدا الله, الجزائر, M'Chedallah,Algeria
 مشرع الصفاء, الجزائر, Mechraa Safa,Algeria
 مشرع بلقصيري, المغرب, Mechra Bel Ksiri,Morocco
 مشروع الهضبة, ليبيا, Al Hadba Project,Libya
 مشطراس, الجزائر, Mechtras,Algeria
 مشقيتا, سوريا, Mashqita,Syrian Arab Republic
 مشهد, ايران, Mashhad,Iran 
 مصر, مصر, Egypt,Egypt
 مصراتة, ليبيا, Misrata,Libya
 مصوع, اريتريا, Massawa,Eritrea
 مصياف, سوريا, Masyaf,Syrian Arab Republic
 مصيف بلطيم, مصر, Baltim Resort,Egypt
 مصيف بلطيم, مصر, Masyaf Baltim,Egypt
 مطر طارس, مصر, Matir Faris,Egypt
 مطرا, اريتريا, Metera,Eritrea
 مطرح, عمان, Muttrah,Oman
 مطروح, مصر, Matrouh Governorate,Egypt
 مطماطة, تونس, Matmata,Tunisia
 مطوبس, مصر, Mutubis,Egypt
 مظفر آباد, باكستان, Muzaffarabad,Pakistan
 مظفر كره, باكستان, Muzaffargarh,Pakistan
 مظفر نغر, الهند, Muzaffarnagar,India
 معازيز, المغرب, Maaziz,Morocco
 معاليه أدوميم, فلسطين, Maale Adomim, Palestinian
 معان, الأردن, Maan,Jordan
 معبر, اليمن, Ma`bar,Yemen
 معدان, سوريا, Ma'adan,Syrian Arab Republic
 معرة النعمان, سوريا, Maarrat al-Nu'man,Syrian Arab Republic
 معرة مصرين, سوريا, Ma`arrat Misrin,Syrian Arab Republic
 معسرتة, تركيا,Ömerli,Turkey
 معسكر, الجزائر, Mascara,Algeria
 معسكر راولبندي, باكستان, Rawalpindi Cantonment,Pakistan
 معسكر شكلالة, باكستان, Chaklala Cantonment,Pakistan
 معشور, ايران, Bandar-e Mahshahr,Iran 
 معضمية الشام, سوريا, Mu`addamiyat ash Shaykh,Syrian Arab Republic
 معلولا, سوريا, Maalula,Syrian Arab Republic
 معمورة, عمان, Mamur,Oman
 معمورة العزيز, تركيا, Elazığ,Turkey
 مغاغة, مصر, Maghagheh,Egypt
 مغامة, موريتانيا, Maghama,Mauritania
 مغدبورغ, ألمانيا,Magdeburg,Germany
 مغنية, الجزائر, Maghnia,Algeria
 مغنيتاغورسك, روسيا, Magnitogorsk,Russian Federation
 مغير السرحان, الأردن, Mgayer assrhan,Jordan
 مغير السرحان, الأردن, Mughayyir Assrhan,Jordan
 مفتاح, الجزائر, Meftah,Algeria
 مفحق, اليمن, Mafhaq,Yemen
 مفرق سنار, السودان, Sennar Junction,Sudan
 مقارين, الجزائر, Meggarine,Algeria
 مقاطعة أوترخت, هولندا, Utrecht,Netherlands
 مقاطعة تسوين وان, الصين, Tsuen Wan,China
 مقاطعة ثانه هوا, فيتنام, Thanh Hoa province,Viet Nam
 مقاطعة جينغهو, الصين, Jinghu,China
 مقاطعة خرونينغن, هولندا, Groningen,Netherlands
 مقاطعة شوتشنغ, الصين, Shucheng,China
 مقاطعة لونغشوي لي, الصين, Lingshui Li Autonomous County,China
 مقاطعة نانهاي, الصين, Nanhai,China
 مقاطعة نغي آن, فيتنام, Nghe An province,Viet Nam
 مقاطعة هوا بنه, فيتنام, Hoa Binh province,Viet Nam
 مقاطعة يجيانغ, الصين, Yijiang,China
 مقبنة, اليمن, Maqbanah,Yemen
 مقديشو, الصومال, Mogadishu,Somalia
 مقرة, الجزائر, Magra,Algeria
 مقرين, تونس, Mégrine,Tunisia
 مقطع الحجار, موريتانيا, Magta-Lahjar,Mauritania
 مقلع, الجزائر, Mekla,Algeria
 مقنة, لبنان, Maqnah,Lebanon
 مقي, اثيوبيا,Meki,Ethiopia
 مكة, السعودية, Mecca,Saudi Arabia
 مكثر, تونس, Maktar,Tunisia
 مكري, النيجر,Magaria,Niger
 مكسيكالي, المكسيك, Mexicali,Mexico
 مكلنبورغ فوربمرن, ألمانيا, Mecklenburg-Vorpommern,Germany
 مكلي, باكستان, Makli,Pakistan
 مكناس, المغرب, Meknes,Morocco
 مكنين, تونس, Moknine,Tunisia
 مكى حسون, مصر, Mekky Hasoun,Egypt
 مكيراس, اليمن, Mukayras,Yemen
 ملاح, اليمن, Milah,Yemen
 ملاذكرد, تركيا,Malazgirt,Turkey
 ملازأي, باكستان, Mullazai,Pakistan
 ملاوي, ملاوي, Malawi,Malawi
 ملبو, الجزائر,Melbou,Algeria
 ملبورن, أستراليا,Melbourne,Australia
 ملتان, باكستان, Multan,Pakistan
 ملديف, جزر المالديف, Maldives,Maldives
 ملطية, تركيا,Malatya,Turkey
 ملفي, تشاد, Melfi,Chad
 ملكا, الأردن, Malka,Jordan
